,zipcode,2018-04-01,minimum,min_roi,expected,expected_roi,maximum,max_roi
0,60657.0,1037783.8055753519,1070843.6827491866,0.03185622766150814,1235147.559943527,0.19017810193979248,1400055.071737841,0.34908163358903477
0,75070.0,323648.82955035253,337306.47971342003,0.042198979004627234,419405.2819409098,0.2958652825149788,500007.9032579529,0.5449087331865751
0,77494.0,323542.8009878177,268218.50722854695,-0.17099528591073138,328487.85106933815,0.01528406772279459,389029.5782804605,0.20240529875090177
0,60614.0,1318618.2142535602,1200312.0050740137,-0.08971983543130178,1523798.0843081805,0.1556021810079182,1811421.0890141814,0.37372673108386095
0,79936.0,119976.01706855967,95101.27760881858,-0.20733093219394463,130131.83986942387,0.08464877438847392,168229.07403701168,0.4021891887015891
0,77084.0,164682.21691424825,165465.88778899444,0.004758685481834762,198286.4840341198,0.2040552267848669,234447.61516954232,0.4236365016364921
0,10467.0,419004.73162567266,435794.7460444523,0.04007118094737741,536476.7209810521,0.28035957708545817,629947.5329435609,0.503437754746738
0,60640.0,802941.0797263663,813622.585191221,0.013302975441852835,985710.4496445422,0.22762488373426065,1163954.276685697,0.44961355954332305
0,77449.0,177497.91004200676,206711.511483444,0.1645856079912351,225116.0730625182,0.2682744997349102,247703.49494775024,0.3955290791262195
0,94109.0,3796577.783796549,2828761.892094842,-0.2549179673948095,4089385.933786956,0.0771242331027922,5386255.8482642155,0.41871341903023007
0,11226.0,927133.3088936359,1162484.245118,0.2538480000305593,1312063.7263114178,0.41518346253477395,1441345.455611584,0.5546259009198649
0,32162.0,248453.16881071785,170756.68382616318,-0.31272084536682704,248601.63600938072,0.0005975661303638912,332995.44740787876,0.34027450324680225
0,11375.0,1088707.2081175388,1359355.670220081,0.24859618829061933,1506424.6839217753,0.38368210726417723,1663501.81243718,0.5279606858794539
0,11235.0,809585.6869533274,985184.7117284987,0.2168998632325062,1129228.3421960769,0.394822512791258,1277672.6599157443,0.5781808899363634
0,37013.0,209230.6153576471,276632.52571532514,0.3221417202375713,312396.63503226277,0.493073250768151,347183.48850980296,0.6593340698078384
0,90250.0,618120.6114341575,584959.4739998531,-0.05364832820792724,875089.1759886692,0.4157256040342931,1168493.4951628125,0.8903972356651968
0,60647.0,492694.41783469723,605623.8864398403,0.22920793197018072,693737.357743719,0.408047935254816,786990.3157194622,0.5973193266084528
0,37211.0,266701.4173930583,375009.5780853391,0.4061026812341937,411096.08762726624,0.5414094594833084,446413.2999902079,0.6738317492039962
0,78660.0,246949.12406019238,298362.036865053,0.2081923270654284,334955.35816350987,0.3563739472178346,369272.59935569053,0.4953387697203677
0,60618.0,482522.15827803896,560954.4800539718,0.16254656999759692,634277.2517315344,0.31450388515847405,701317.5872646096,0.4534412052026352
0,10011.0,12414997.695510967,13128207.250380402,0.05744741741895926,14627404.932165947,0.17820440171768584,16247724.246554263,0.3087174597244701
0,10128.0,7844237.85862921,8578033.241701633,0.09354578434477183,9301126.747316437,0.1857272707614988,9993532.971172616,0.2739966777242777
0,77573.0,257781.2922936137,208177.68006300123,-0.1924251825617888,309251.6471098175,0.1996667576543099,416985.55025760364,0.6175943046427738
0,77584.0,255675.2970454268,206183.15570319365,-0.193574201004799,298750.80427096324,0.16847739192372216,387646.8342186084,0.5161685102090005
0,28269.0,195996.7849830857,243026.25471866512,0.23995021009981368,269346.61007529014,0.37423994020378676,295648.2874755077,0.5084343730486284
0,79912.0,184732.99409637882,183248.93327115252,-0.008033545022563976,207592.4178662838,0.12374304807715486,231584.80662232565,0.2536190828017615
